"initialPosition","initialVelocity","initialTariff","initialCapacity","initialRenewableGeneration","initialBatteryCapacity","initialBatteryCharge","initialFlexibleLoad","flexibilityAbove","flexibilityBelow"
"[6, 5, 6, 6, 5, 5, 6, 6, 6, 7, 6, 5, 5, 5, 5, 4, 6, 10, 11, 11, 9, 8, 8, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 34, 22, 43, 37, 31, 30, 42, 15, 19, 41, 19, 34, 18, 28, 34, 20, 20, 44, 17, 32, 26, 27, 40]","[8, 6, 8, 8, 6, 6, 7, 7, 7, 9, 7, 6, 7, 7, 7, 4, 8, 12, 15, 13, 11, 10, 10, 11]","[1, 2, 0, 0, 1, 1, 1, 2, 2, 3, 2, 1, 0, 1, 0, 1, 2, 3, 2, 2, 2, 3, 0, 0]","[7, 3, 6, 5, 5, 5, 4, 4, 5, 8, 5, 5, 4, 5, 3, 3, 6, 11, 9, 9, 10, 8, 7, 7]","[7, 1, 4, 0, 3, 1, 1, 4, 5, 7, 1, 3, 0, 4, 0, 2, 1, 10, 6, 4, 6, 2, 3, 1]","[6, 6, 6, 6, 5, 5, 5, 7, 9, 9, 9, 6, 5, 8, 8, 7, 8, 11, 11, 10, 9, 8, 8, 7]","[7, 7, 7, 7, 7, 6, 7, 10, 13, 13, 12, 8, 6, 11, 11, 11, 12, 13, 14, 12, 11, 9, 9, 7]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 3, 3, 4, 7, 8, 8, 7, 6, 7, 6]"
"[2, 2, 2, 2, 2, 3, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 5, 6, 7, 4, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43, 36, 32, 44, 36, 40, 37, 28, 35, 23, 16, 31, 39, 23, 31, 19, 33, 38, 26, 38, 20, 16, 32, 45]","[2, 2, 2, 2, 2, 3, 3, 5, 2, 2, 2, 4, 4, 4, 3, 2, 4, 4, 7, 8, 9, 5, 5, 3]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 2, 4, 1, 1, 1, 3, 2, 2, 2, 1, 3, 2, 4, 6, 5, 3, 4, 2]","[1, 1, 0, 0, 1, 2, 2, 4, 1, 1, 0, 0, 2, 2, 0, 0, 3, 0, 1, 3, 5, 0, 3, 0]","[2, 2, 2, 1, 1, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3, 4, 5, 6, 5, 3, 3, 2]","[3, 2, 2, 2, 2, 3, 4, 4, 4, 3, 3, 4, 4, 4, 5, 4, 4, 5, 7, 7, 7, 4, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"[9, 8, 7, 7, 6, 7, 8, 7, 8, 10, 10, 11, 11, 9, 8, 9, 12, 15, 13, 13, 12, 12, 12, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[37, 31, 41, 22, 32, 19, 19, 33, 33, 16, 25, 19, 24, 41, 19, 37, 31, 35, 39, 29, 44, 26, 27, 24]","[12, 11, 10, 9, 7, 9, 10, 8, 10, 13, 14, 13, 14, 10, 11, 11, 17, 21, 16, 15, 17, 15, 15, 14]","[2, 2, 0, 2, 1, 1, 2, 0, 0, 1, 2, 2, 1, 2, 3, 1, 2, 2, 2, 2, 3, 2, 3, 3]","[8, 8, 8, 7, 4, 5, 8, 5, 8, 11, 10, 11, 12, 9, 10, 9, 9, 14, 10, 12, 12, 10, 14, 13]","[1, 1, 7, 7, 4, 4, 8, 5, 6, 1, 2, 2, 3, 7, 2, 1, 8, 10, 7, 3, 12, 3, 14, 10]","[8, 7, 7, 7, 6, 7, 7, 7, 8, 9, 10, 11, 10, 9, 9, 9, 10, 13, 14, 14, 14, 13, 12, 9]","[10, 8, 7, 7, 7, 7, 8, 10, 11, 11, 12, 13, 11, 12, 12, 11, 13, 15, 17, 17, 16, 15, 14, 10]","[7, 7, 6, 6, 6, 6, 6, 5, 6, 8, 8, 10, 8, 7, 7, 7, 6, 8, 11, 11, 11, 12, 9, 8]"
"[56, 51, 47, 48, 46, 49, 53, 48, 54, 66, 56, 57, 54, 52, 59, 65, 73, 91, 111, 101, 88, 83, 78, 71]","[1, -1, 0, -1, -1, -1, 2, -1, -2, -3, 2, 2, 1, -2, 2, -3, -1, 4, -1, 5, -2, -2, 0, -2]","[43, 40, 44, 31, 16, 39, 39, 39, 21, 39, 18, 23, 18, 17, 30, 44, 39, 44, 28, 16, 19, 26, 30, 38]","[80, 61, 58, 63, 65, 67, 67, 67, 71, 83, 77, 75, 76, 77, 78, 83, 95, 115, 160, 138, 117, 103, 102, 90]","[4, 12, 19, 3, 11, 15, 11, 5, 11, 19, 20, 17, 7, 6, 11, 22, 22, 5, 27, 9, 6, 24, 0, 17]","[53, 34, 55, 57, 40, 60, 43, 57, 53, 65, 50, 40, 41, 50, 75, 80, 88, 99, 128, 104, 85, 67, 81, 45]","[33, 32, 24, 3, 1, 3, 9, 35, 39, 15, 46, 35, 16, 0, 19, 66, 52, 9, 95, 29, 46, 30, 71, 17]","[56, 52, 48, 49, 48, 45, 36, 49, 55, 59, 56, 54, 49, 47, 54, 57, 66, 82, 93, 92, 90, 85, 74, 62]","[74, 65, 55, 52, 49, 48, 41, 55, 62, 63, 63, 72, 56, 60, 71, 68, 77, 98, 105, 104, 102, 96, 84, 71]","[49, 46, 45, 47, 46, 41, 31, 44, 48, 54, 44, 44, 41, 36, 41, 39, 53, 63, 81, 81, 75, 74, 65, 57]"
"[8, 6, 5, 5, 5, 5, 6, 6, 6, 7, 6, 6, 6, 9, 9, 8, 10, 12, 11, 10, 9, 9, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]","[26, 34, 35, 33, 34, 45, 28, 24, 42, 22, 25, 44, 19, 41, 43, 40, 29, 35, 43, 28, 23, 33, 25, 45]","[9, 8, 6, 6, 6, 6, 8, 8, 7, 8, 7, 8, 8, 12, 12, 10, 12, 16, 13, 14, 11, 11, 12, 14]","[0, 1, 0, 0, 0, 2, 0, 0, 2, 1, 1, 2, 0, 0, 2, 2, 3, 1, 4, 2, 2, 1, 1, 0]","[8, 6, 4, 4, 5, 5, 6, 4, 5, 7, 4, 4, 5, 9, 6, 9, 7, 11, 11, 10, 9, 10, 8, 7]","[8, 6, 0, 0, 1, 2, 1, 0, 5, 2, 4, 2, 5, 6, 0, 1, 5, 5, 0, 1, 7, 7, 0, 5]","[6, 6, 5, 5, 4, 5, 5, 5, 5, 6, 6, 7, 7, 6, 6, 6, 7, 10, 11, 11, 11, 10, 10, 8]","[8, 7, 6, 5, 5, 5, 5, 6, 6, 7, 8, 9, 7, 7, 7, 8, 9, 13, 13, 14, 14, 14, 13, 11]","[4, 5, 4, 4, 4, 4, 4, 3, 4, 5, 5, 6, 6, 5, 5, 5, 7, 8, 8, 8, 7, 8, 7, 5]"
"[7, 6, 7, 6, 5, 7, 7, 5, 6, 6, 6, 7, 7, 7, 8, 7, 7, 12, 12, 12, 11, 11, 11, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[31, 42, 19, 29, 23, 24, 36, 43, 45, 38, 34, 19, 39, 15, 17, 24, 25, 22, 27, 22, 16, 33, 21, 21]","[10, 8, 8, 8, 6, 9, 8, 6, 8, 7, 8, 10, 10, 8, 11, 9, 8, 14, 16, 14, 16, 14, 15, 12]","[3, 2, 2, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 3, 2, 2, 2, 0, 3]","[9, 4, 7, 5, 5, 8, 4, 4, 7, 4, 7, 6, 6, 4, 9, 7, 5, 7, 15, 10, 11, 8, 8, 10]","[3, 4, 2, 4, 4, 4, 0, 3, 3, 0, 0, 0, 2, 1, 2, 1, 5, 0, 8, 7, 8, 5, 3, 9]","[7, 6, 7, 6, 6, 7, 6, 5, 5, 6, 6, 7, 7, 6, 6, 6, 7, 11, 12, 12, 11, 11, 10, 8]","[10, 7, 8, 7, 6, 7, 7, 6, 6, 6, 8, 8, 9, 8, 7, 7, 8, 13, 15, 13, 13, 12, 11, 9]","[6, 6, 6, 6, 5, 6, 6, 4, 5, 5, 5, 6, 6, 5, 5, 5, 6, 9, 10, 10, 10, 10, 9, 7]"
"[22, 23, 22, 19, 19, 18, 18, 17, 19, 17, 19, 22, 22, 21, 25, 24, 29, 36, 37, 35, 32, 34, 34, 32]","[0, 0, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 0, -1, -1, 1, -1, 0, -1, -1, 0, 1, 0, -1]","[36, 20, 35, 42, 34, 37, 41, 26, 16, 37, 45, 31, 23, 29, 36, 22, 45, 38, 31, 30, 45, 25, 26, 36]","[32, 27, 29, 28, 28, 23, 23, 23, 25, 23, 24, 29, 29, 29, 32, 30, 42, 47, 44, 49, 47, 48, 48, 40]","[8, 5, 7, 7, 4, 5, 6, 0, 2, 3, 3, 1, 3, 4, 7, 9, 1, 1, 3, 4, 10, 1, 3, 6]","[31, 20, 15, 25, 25, 12, 16, 15, 15, 12, 19, 26, 22, 22, 24, 16, 33, 41, 37, 29, 29, 42, 33, 24]","[5, 16, 12, 12, 2, 3, 15, 9, 12, 10, 11, 18, 9, 8, 9, 5, 15, 41, 11, 5, 15, 10, 13, 15]","[24, 22, 20, 19, 18, 17, 17, 16, 19, 21, 22, 25, 23, 21, 21, 21, 25, 31, 36, 36, 35, 33, 30, 26]","[27, 27, 23, 20, 19, 20, 18, 19, 21, 24, 26, 30, 30, 30, 27, 27, 31, 37, 40, 41, 41, 37, 33, 29]","[21, 19, 18, 17, 17, 16, 14, 14, 16, 19, 18, 22, 19, 17, 17, 16, 22, 27, 31, 31, 30, 30, 25, 23]"
"[28, 26, 26, 25, 26, 26, 25, 27, 28, 28, 29, 18, 16, 15, 15, 15, 18, 21, 23, 23, 20, 21, 19, 19]","[-1, 1, -1, 0, 1, 0, 1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, -1, 0]","[45, 36, 33, 28, 42, 31, 45, 34, 31, 36, 25, 27, 43, 36, 18, 36, 42, 31, 33, 16, 30, 34, 27, 45]","[33, 35, 32, 32, 33, 31, 37, 33, 39, 35, 37, 24, 20, 20, 20, 19, 25, 27, 30, 32, 24, 26, 23, 27]","[8, 8, 1, 1, 6, 2, 9, 8, 3, 8, 5, 1, 6, 0, 2, 2, 3, 3, 9, 3, 8, 7, 2, 1]","[25, 25, 17, 26, 29, 27, 36, 31, 33, 22, 19, 16, 12, 10, 18, 18, 24, 21, 23, 20, 23, 14, 13, 16]","[3, 25, 14, 25, 11, 15, 29, 13, 4, 15, 16, 3, 9, 10, 10, 16, 3, 6, 11, 0, 11, 4, 2, 15]","[21, 19, 18, 18, 18, 21, 22, 23, 24, 26, 26, 26, 24, 23, 22, 22, 22, 27, 29, 27, 26, 28, 26, 24]","[27, 24, 24, 24, 25, 29, 30, 32, 35, 35, 33, 34, 33, 32, 32, 31, 33, 39, 41, 39, 37, 36, 34, 31]","[12, 11, 10, 10, 9, 10, 10, 8, 10, 12, 14, 16, 13, 10, 10, 10, 12, 15, 16, 17, 17, 19, 18, 15]"
"[12, 11, 11, 9, 10, 10, 12, 12, 11, 11, 11, 12, 12, 13, 13, 12, 14, 17, 19, 16, 15, 13, 15, 15]","[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]","[36, 19, 29, 35, 37, 17, 27, 19, 43, 16, 38, 20, 44, 24, 24, 24, 28, 15, 41, 34, 26, 44, 44, 44]","[14, 14, 16, 13, 12, 13, 16, 16, 15, 14, 14, 17, 17, 18, 15, 17, 20, 24, 26, 23, 18, 17, 19, 21]","[1, 0, 4, 1, 3, 1, 3, 1, 3, 3, 1, 2, 3, 3, 3, 3, 5, 6, 1, 1, 2, 2, 1, 6]","[9, 12, 8, 11, 11, 12, 8, 14, 14, 12, 8, 13, 9, 15, 14, 14, 17, 17, 25, 14, 12, 12, 17, 11]","[2, 2, 8, 0, 2, 11, 0, 11, 11, 6, 7, 11, 9, 2, 1, 7, 8, 7, 0, 0, 10, 7, 5, 4]","[11, 10, 10, 9, 9, 9, 9, 9, 9, 11, 11, 13, 11, 10, 11, 11, 12, 16, 18, 18, 17, 17, 15, 13]","[14, 11, 11, 10, 10, 10, 12, 13, 13, 12, 14, 15, 13, 13, 14, 14, 15, 19, 21, 22, 20, 20, 16, 14]","[10, 9, 9, 8, 8, 8, 8, 6, 6, 8, 10, 11, 9, 8, 9, 9, 10, 12, 13, 14, 14, 14, 11, 11]"
"[23, 19, 18, 18, 25, 22, 21, 21, 25, 29, 32, 31, 30, 35, 34, 29, 34, 45, 45, 42, 36, 35, 35, 34]","[1, 0, 0, 0, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, 1, -1, 1, -1, -1, -1, 0, 1, 1, 0]","[23, 29, 31, 18, 20, 39, 45, 24, 33, 20, 41, 40, 32, 31, 45, 33, 32, 41, 45, 41, 25, 45, 40, 19]","[29, 23, 22, 24, 36, 28, 30, 27, 35, 35, 44, 39, 40, 51, 46, 41, 47, 57, 64, 61, 52, 45, 45, 48]","[4, 7, 2, 2, 3, 2, 1, 3, 3, 3, 7, 10, 12, 1, 12, 9, 13, 14, 1, 11, 1, 14, 6, 11]","[18, 17, 20, 20, 24, 18, 25, 17, 25, 31, 30, 29, 36, 27, 36, 38, 29, 37, 50, 42, 41, 31, 27, 44]","[4, 12, 20, 16, 2, 4, 7, 10, 19, 29, 18, 11, 17, 4, 32, 3, 11, 12, 19, 33, 18, 31, 27, 24]","[22, 20, 18, 18, 20, 21, 21, 20, 23, 25, 28, 29, 27, 25, 23, 25, 29, 39, 42, 40, 36, 34, 30, 26]","[27, 25, 21, 22, 24, 23, 23, 23, 30, 30, 33, 33, 31, 35, 30, 32, 33, 44, 45, 45, 42, 41, 36, 32]","[19, 18, 16, 15, 17, 17, 16, 15, 19, 20, 25, 25, 23, 20, 19, 21, 23, 30, 35, 35, 30, 30, 27, 22]"
"[6, 6, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7, 6, 7, 5, 5, 5, 8, 8, 8, 8, 7, 8, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39, 38, 15, 32, 35, 34, 32, 34, 41, 41, 34, 45, 24, 27, 45, 32, 32, 23, 35, 33, 24, 28, 23, 37]","[8, 7, 8, 8, 10, 7, 8, 8, 9, 9, 10, 8, 8, 8, 6, 6, 7, 10, 11, 10, 10, 10, 11, 8]","[0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 3, 1, 3, 1]","[4, 4, 5, 5, 8, 5, 5, 7, 6, 7, 6, 7, 5, 7, 3, 4, 4, 8, 7, 5, 9, 6, 9, 6]","[2, 4, 5, 2, 4, 3, 2, 5, 4, 7, 2, 1, 1, 3, 2, 0, 1, 8, 0, 2, 3, 1, 5, 1]","[7, 6, 7, 6, 6, 6, 6, 6, 5, 7, 8, 7, 7, 6, 6, 7, 7, 9, 9, 9, 8, 8, 7, 7]","[8, 7, 7, 7, 7, 6, 7, 7, 6, 8, 9, 8, 8, 7, 7, 8, 8, 10, 10, 10, 10, 9, 9, 8]","[6, 6, 6, 5, 6, 5, 5, 5, 5, 6, 6, 6, 6, 5, 6, 6, 6, 8, 7, 7, 7, 7, 7, 6]"
"[11, 9, 9, 9, 9, 9, 11, 14, 16, 17, 17, 17, 16, 15, 16, 18, 17, 21, 22, 19, 17, 16, 17, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[43, 26, 25, 41, 43, 22, 20, 20, 34, 25, 32, 25, 23, 17, 19, 36, 37, 36, 25, 44, 20, 23, 24, 28]","[14, 12, 12, 11, 12, 13, 14, 17, 22, 20, 22, 23, 22, 21, 20, 24, 24, 26, 31, 26, 22, 23, 24, 19]","[1, 1, 1, 1, 1, 3, 3, 6, 5, 4, 1, 3, 1, 5, 5, 1, 6, 4, 5, 7, 0, 3, 3, 6]","[11, 11, 9, 7, 6, 9, 10, 12, 11, 18, 19, 20, 18, 17, 17, 21, 13, 22, 17, 21, 13, 18, 21, 13]","[2, 3, 1, 0, 5, 7, 5, 10, 3, 12, 3, 16, 16, 2, 10, 16, 0, 13, 4, 13, 7, 14, 9, 2]","[11, 10, 9, 9, 9, 9, 10, 10, 13, 13, 14, 15, 15, 13, 14, 14, 16, 18, 18, 17, 16, 15, 14, 12]","[13, 13, 10, 10, 10, 10, 11, 12, 15, 15, 16, 18, 18, 16, 17, 18, 20, 22, 22, 20, 19, 17, 15, 13]","[9, 8, 8, 8, 8, 8, 9, 8, 10, 11, 11, 10, 11, 9, 9, 10, 10, 13, 13, 13, 14, 13, 12, 11]"
"[7, 6, 5, 5, 5, 6, 6, 4, 4, 5, 4, 5, 5, 4, 4, 4, 5, 8, 8, 8, 8, 8, 8, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 36, 38, 25, 39, 21, 17, 39, 22, 17, 22, 18, 39, 38, 39, 20, 29, 26, 42, 19, 34, 39, 39, 32]","[10, 8, 6, 6, 7, 8, 8, 5, 4, 6, 5, 7, 6, 5, 5, 5, 6, 10, 9, 11, 11, 10, 10, 11]","[0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 3, 2]","[7, 7, 5, 3, 6, 6, 4, 2, 3, 3, 2, 4, 3, 4, 4, 3, 3, 8, 8, 9, 10, 9, 6, 5]","[4, 5, 2, 1, 3, 0, 1, 1, 1, 1, 0, 1, 2, 0, 2, 0, 1, 3, 7, 4, 10, 7, 1, 2]","[6, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 5, 5, 4, 4, 4, 5, 7, 8, 8, 8, 8, 7, 7]","[7, 7, 7, 6, 5, 6, 5, 4, 4, 5, 5, 6, 5, 4, 5, 5, 5, 9, 9, 9, 9, 8, 8, 7]","[6, 6, 5, 5, 5, 5, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 8, 7, 7, 7, 6]"
"[37, 30, 29, 35, 36, 31, 46, 29, 35, 39, 34, 35, 37, 46, 38, 40, 43, 58, 60, 52, 46, 47, 45, 49]","[1, -1, 1, -1, 2, 0, 2, 0, -1, 0, 1, -2, -1, 1, 0, 0, 1, -2, 3, -2, -1, 0, 2, 0]","[24, 32, 39, 37, 33, 30, 31, 26, 41, 17, 22, 17, 42, 32, 43, 19, 42, 26, 26, 43, 27, 27, 21, 45]","[51, 38, 40, 44, 47, 43, 61, 43, 49, 57, 45, 47, 51, 58, 54, 51, 54, 76, 86, 63, 57, 58, 62, 72]","[2, 8, 2, 11, 6, 2, 15, 10, 2, 7, 8, 12, 3, 14, 4, 4, 10, 6, 4, 7, 11, 13, 6, 6]","[38, 24, 25, 30, 27, 33, 49, 32, 40, 39, 43, 46, 30, 50, 48, 34, 45, 58, 55, 61, 47, 49, 48, 48]","[36, 7, 17, 20, 12, 4, 28, 1, 17, 10, 32, 6, 1, 48, 23, 20, 41, 1, 7, 14, 40, 15, 31, 30]","[35, 32, 29, 32, 34, 34, 33, 28, 33, 32, 35, 37, 35, 34, 33, 33, 37, 52, 55, 53, 50, 48, 43, 39]","[39, 39, 35, 35, 36, 46, 40, 39, 45, 38, 38, 41, 44, 44, 41, 47, 44, 60, 66, 61, 60, 57, 52, 43]","[30, 29, 27, 31, 33, 29, 28, 19, 25, 28, 30, 32, 28, 24, 25, 24, 26, 37, 40, 43, 40, 40, 39, 34]"
"[4, 3, 3, 3, 5, 3, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 3, 3, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 20, 25, 19, 22, 40, 41, 18, 29, 41, 45, 18, 45, 27, 42, 23, 40, 27, 28, 18, 19, 29, 28, 16]","[5, 3, 4, 4, 6, 4, 2, 2, 4, 2, 2, 2, 2, 2, 1, 2, 4, 2, 2, 4, 4, 2, 2, 2]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[3, 1, 2, 3, 4, 2, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 3, 1, 1, 3, 2, 1, 1, 1]","[1, 1, 0, 1, 3, 2, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0]","[3, 3, 3, 4, 3, 3, 3, 4, 6, 5, 5, 5, 3, 4, 5, 6, 6, 6, 3, 3, 3, 3, 3, 3]","[5, 5, 6, 5, 5, 5, 4, 7, 13, 13, 11, 10, 6, 8, 9, 12, 13, 11, 4, 4, 4, 4, 4, 3]","[3, 2, 2, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 3, 3, 2, 2, 2]"
"[30, 27, 25, 24, 24, 22, 31, 32, 35, 39, 37, 36, 39, 37, 36, 39, 40, 57, 58, 46, 43, 42, 39, 38]","[0, 1, 0, 0, -1, -1, 0, 1, 0, -2, 0, 2, -2, -1, -1, -2, 2, -1, 2, 1, 1, -2, 0, 2]","[15, 39, 17, 41, 38, 30, 45, 34, 19, 20, 41, 40, 43, 26, 34, 17, 29, 43, 42, 38, 45, 27, 38, 20]","[43, 36, 33, 30, 31, 28, 40, 41, 51, 51, 46, 50, 50, 50, 45, 49, 58, 79, 81, 56, 55, 60, 55, 48]","[7, 2, 5, 8, 0, 7, 3, 5, 8, 15, 8, 5, 3, 10, 6, 6, 5, 17, 16, 3, 10, 9, 8, 7]","[40, 28, 19, 27, 20, 21, 34, 27, 49, 29, 42, 32, 39, 28, 31, 44, 43, 52, 48, 44, 44, 40, 40, 35]","[18, 0, 11, 15, 17, 4, 20, 13, 41, 14, 32, 9, 39, 23, 6, 14, 38, 41, 48, 20, 26, 22, 4, 12]","[29, 25, 26, 24, 23, 22, 27, 28, 30, 31, 32, 33, 30, 29, 30, 30, 34, 48, 54, 48, 46, 43, 39, 33]","[32, 31, 29, 27, 25, 24, 30, 30, 34, 33, 35, 35, 34, 36, 35, 35, 40, 56, 64, 58, 58, 53, 45, 35]","[27, 23, 25, 22, 21, 21, 24, 25, 25, 28, 28, 29, 26, 25, 27, 24, 25, 37, 42, 38, 38, 35, 33, 30]"
"[27, 25, 21, 20, 25, 34, 36, 35, 48, 50, 49, 47, 42, 40, 40, 41, 37, 40, 39, 34, 33, 31, 30, 28]","[1, 0, 0, 1, -1, 1, 0, 0, 1, 0, -1, -1, -2, 0, 1, -1, 0, -1, -1, 1, 0, 1, 1, -1]","[24, 35, 15, 38, 19, 35, 34, 25, 21, 24, 40, 31, 23, 20, 30, 43, 16, 30, 17, 29, 33, 23, 41, 29]","[38, 32, 28, 29, 35, 42, 52, 42, 59, 67, 69, 59, 50, 53, 50, 57, 53, 53, 52, 42, 40, 39, 39, 41]","[6, 2, 3, 0, 7, 5, 1, 4, 1, 17, 16, 3, 6, 15, 9, 3, 14, 8, 11, 11, 6, 4, 2, 3]","[28, 23, 16, 18, 18, 35, 26, 33, 34, 49, 62, 32, 26, 37, 34, 34, 42, 51, 27, 31, 26, 37, 26, 33]","[21, 8, 3, 3, 3, 17, 17, 17, 26, 22, 11, 31, 1, 8, 15, 25, 36, 41, 4, 0, 2, 1, 17, 20]","[24, 22, 21, 21, 25, 27, 28, 29, 36, 40, 41, 40, 35, 34, 35, 35, 38, 41, 41, 38, 38, 35, 32, 28]","[30, 24, 22, 26, 29, 30, 34, 34, 45, 49, 50, 46, 41, 44, 46, 49, 48, 54, 55, 45, 45, 44, 37, 33]","[22, 19, 19, 19, 21, 19, 19, 18, 21, 24, 28, 28, 25, 23, 24, 24, 26, 29, 30, 33, 33, 32, 29, 25]"
"[11, 10, 8, 8, 8, 9, 9, 8, 11, 14, 13, 17, 17, 17, 16, 14, 15, 21, 23, 19, 17, 14, 14, 13]","[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0]","[34, 42, 45, 45, 24, 34, 16, 42, 19, 17, 31, 25, 41, 24, 29, 35, 16, 45, 23, 28, 29, 42, 17, 40]","[15, 14, 10, 10, 10, 13, 13, 9, 15, 17, 19, 21, 20, 20, 22, 17, 18, 25, 31, 27, 22, 18, 20, 17]","[4, 1, 2, 3, 3, 1, 0, 3, 2, 1, 5, 3, 5, 1, 6, 1, 5, 7, 1, 5, 3, 2, 5, 4]","[10, 12, 5, 5, 7, 10, 8, 4, 12, 15, 12, 12, 16, 16, 19, 14, 12, 18, 22, 21, 13, 10, 12, 16]","[0, 8, 5, 2, 5, 1, 4, 2, 11, 1, 1, 4, 4, 14, 13, 8, 1, 1, 9, 1, 4, 2, 0, 8]","[11, 9, 8, 8, 8, 9, 9, 7, 9, 11, 15, 17, 15, 14, 13, 13, 14, 19, 22, 23, 21, 18, 17, 13]","[12, 11, 9, 9, 8, 9, 10, 9, 12, 14, 19, 21, 18, 19, 18, 17, 18, 23, 26, 26, 24, 21, 19, 15]","[10, 8, 8, 8, 7, 8, 7, 6, 7, 10, 11, 13, 13, 11, 11, 10, 10, 14, 16, 17, 16, 15, 14, 13]"


